node idx,drug id,pubchem_cid,smiles
0,DB00001,,
1,DB00002,,
2,DB00004,,
3,DB00005,,
4,DB00006,101041682.0,CCC(C)C(C(=O)N1CCCC1C(=NC(CCC(=O)O)C(=NC(CCC(=O)O)C(=NC(CC2=CC=C(C=C2)O)C(=NC(CC(C)C)C(=O)O)O)O)O)O)N=C(C(CCC(=O)O)N=C(C(CCC(=O)O)N=C(C(CC3=CC=CC=C3)N=C(C(CC(=O)O)N=C(CN=C(C(CC(=N)O)N=C(CN=C(CN=C(CN=C(CN=C(C4CCCN4C(=O)C(CCCNC(=N)N)N=C(C5CCCN5C(=O)C(CC6=CC=CC=C6)N)O)O)O)O)O)O)O)O)O)O)O)O
5,DB00007,,
6,DB00008,,
7,DB00009,,
8,DB00011,,
9,DB00012,,
10,DB00013,,
11,DB00014,5311128.0,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6
12,DB00015,,
13,DB00016,,
14,DB00017,,
15,DB00018,,
16,DB00019,,
17,DB00020,,
18,DB00022,,
19,DB00023,,
20,DB00024,,
21,DB00025,,
22,DB00026,,
23,DB00027,45267103.0,CC(C)CC(C(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CC(C)C)C(=O)NC(CC5=CNC6=CC=CC=C65)C(=O)NC(CC(C)C)C(=O)NC(CC7=CNC8=CC=CC=C87)C(=O)NCCO)NC(=O)CNC(=O)C(C(C)C)NC=O
24,DB00028,,
25,DB00029,,
26,DB00030,,
27,DB00031,,
28,DB00033,,
29,DB00034,,
30,DB00035,5311065.0,C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N
31,DB00036,,
32,DB00039,,
33,DB00040,,
34,DB00041,,
35,DB00042,,
36,DB00043,,
37,DB00046,,
38,DB00047,,
39,DB00048,,
40,DB00049,,
41,DB00051,,
42,DB00052,,
43,DB00054,,
44,DB00055,,
45,DB00056,,
46,DB00057,,
47,DB00058,,
48,DB00059,,
49,DB00060,,
50,DB00061,,
51,DB00063,,
52,DB00065,,
53,DB00066,,
54,DB00067,,
55,DB00068,,
56,DB00069,,
57,DB00070,,
58,DB00071,,
59,DB00072,,
60,DB00073,,
61,DB00074,,
62,DB00075,,
63,DB00076,,
64,DB00078,,
65,DB00080,21585658.0,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C
66,DB00081,,
67,DB00082,,
68,DB00083,,
69,DB00085,,
70,DB00086,,
71,DB00087,,
72,DB00089,,
73,DB00091,5284373.0,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
74,DB00092,,
75,DB00093,,
76,DB00095,,
77,DB00098,,
78,DB00099,,
79,DB00100,,
80,DB00103,,
81,DB00104,,
82,DB00105,,
83,DB00107,,
84,DB00108,,
85,DB00109,,
86,DB00110,,
87,DB00111,,
88,DB00112,,
89,DB00113,,
90,DB00115,166596686.0,CC1=CC2=C(C=C1C)[N+](=CN2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=N)[O-])N7)CCC(=N)[O-])(C)CC(=O)N)C)CCC(=N)[O-])(C)CC(=O)N)C)CC(=O)N)C)O.[C]#N.[Co+2]
91,DB00116,135444742.0,C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
92,DB00118,34755.0,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
93,DB00120,6140.0,C1=CC=C(C=C1)CC(C(=O)O)N
94,DB00122,305.0,C[N+](C)(C)CCO
95,DB00126,54670067.0,C(C(C1C(=C(C(=O)O1)O)O)O)O
96,DB00127,1103.0,C(CCNCCCN)CNCCCN
97,DB00130,5961.0,C(CC(=O)N)C(C(=O)O)N
98,DB00132,5280934.0,CCC=CCC=CCC=CCCCCCCCC(=O)O
99,DB00134,6137.0,CSCCC(C(=O)O)N
100,DB00136,5280453.0,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
101,DB00139,1110.0,C(CC(=O)O)C(=O)O
102,DB00140,493570.0,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
103,DB00142,44272391.0,C(CC(=O)O)C(C(=O)[O-])[NH3+]
104,DB00145,750.0,C(C(=O)O)N
105,DB00146,5283731.0,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
106,DB00150,6305.0,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
107,DB00152,1130.0,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
108,DB00153,5280793.0,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
109,DB00155,6992098.0,C(CC(C(=O)[O-])[NH3+])CNC(=O)N
110,DB00158,6037.0,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N
111,DB00159,446284.0,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O
112,DB00162,445354.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
113,DB00163,14985.0,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
114,DB00165,1054.0,CC1=NC=C(C(=C1O)CO)CO
115,DB00166,6112.0,C1CSSC1CCCCC(=O)O
116,DB00168,134601.0,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N
117,DB00169,5280795.0,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
118,DB00170,4055.0,CC1=CC(=O)C2=CC=CC=C2C1=O
119,DB00173,190.0,C1=NC2=NC=NC(=C2N1)N
120,DB00175,54687.0,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O
121,DB00176,5324346.0,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F
122,DB00177,60846.0,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
123,DB00178,6992028.0,CCOC(=O)C(CCC1=CC=CC=C1)[NH2+]C(C)C(=O)N2C3CCCC3CC2C(=O)[O-]
124,DB00179,71398.0,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O
125,DB00180,82153.0,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C
126,DB00181,78422631.0,C1=CC(=CC=C1C(CC(=O)[O-])C[NH3+])Cl
127,DB00182,3007.0,CC(CC1=CC=CC=C1)N
128,DB00184,89594.0,CN1CCCC1C2=CN=CC=C2
129,DB00185,25137844.0,CC1OC2(CN3CCC2CC3)CS1
130,DB00186,3958.0,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
131,DB00187,59768.0,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O
132,DB00188,387447.0,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
133,DB00189,5281077.0,CCC(C=CCl)(C#C)O
134,DB00190,28082766.0,CC(CC1=CC(=C(C=C1)O)O)(C(=O)[O-])N[NH3+]
135,DB00191,4771.0,CC(C)(CC1=CC=CC=C1)N
136,DB00193,5523.0,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O
137,DB00194,21704.0,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
138,DB00195,2369.0,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
139,DB00196,3365.0,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
140,DB00197,5591.0,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C
141,DB00198,65028.0,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC
142,DB00199,12560.0,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
143,DB00200,44475014.0,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[OH-].[Co+3]
144,DB00201,2519.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
145,DB00202,5314.0,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
146,DB00203,135398744.0,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
147,DB00204,71329.0,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C
148,DB00205,4993.0,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
149,DB00206,5770.0,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
150,DB00207,447043.0,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
151,DB00208,5472.0,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl
152,DB00209,,
153,DB00210,60164.0,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
154,DB00211,4195.0,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O
155,DB00212,6324659.0,CC(C)(C)S(=O)(=O)CC(CC1=CC=CC=C1)C(=O)NC(CC2=CN=CN2)C(=O)NC(CC3CCCCC3)C(C(C4CC4)O)O
156,DB00213,4679.0,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
157,DB00214,41781.0,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C
158,DB00215,2771.0,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
159,DB00216,77993.0,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4
160,DB00217,2368.0,CNC(=NC)NCC1=CC=CC=C1
161,DB00218,40467042.0,COC1=C2C(=CC(=C1N3CC4CCC[NH2+]C4C3)F)C(=O)C(=CN2C5CC5)C(=O)[O-]
162,DB00219,5749.0,CC[N+](C)(CC)CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
163,DB00220,64143.0,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O
164,DB00221,3762.0,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C
165,DB00222,,
166,DB00223,71415.0,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F
167,DB00224,5362440.0,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5
168,DB00225,153921.0,CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3]
169,DB00226,38521.0,C1CCC2(CC1)OCC(O2)CN=C(N)N
170,DB00227,53232.0,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
171,DB00228,3226.0,C(C(OC(F)F)(F)F)(F)Cl
172,DB00229,43708.0,CN(C)CCN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O
173,DB00230,5486971.0,CC(C)CC(CC(=O)O)CN
174,DB00231,5391.0,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3
175,DB00232,4121.0,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
176,DB00233,4649.0,C1=CC(=C(C=C1N)O)C(=O)O
177,DB00234,127151.0,CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3
178,DB00235,4197.0,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
179,DB00236,4842.0,C1CN(CCN1C(=O)CCBr)C(=O)CCBr
180,DB00237,2479.0,CCC(C)C1(C(=O)NC(=O)NC1=O)CC
181,DB00238,4463.0,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4
182,DB00239,5353853.0,C1=CC(=C(C=C1Cl)Cl)CON=C(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
183,DB00240,5311000.0,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl
184,DB00241,2481.0,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C
185,DB00242,20279.0,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
186,DB00243,56959.0,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O
187,DB00244,4075.0,C1=CC(=C(C=C1N)C(=O)O)O
188,DB00245,,
189,DB00246,60854.0,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54
190,DB00247,6540428.0,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C
191,DB00248,54746.0,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C
192,DB00250,2955.0,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
193,DB00252,1775.0,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
194,DB00253,247839.0,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)CC4)C)O)C)C(=O)C
195,DB00254,,
196,DB00255,448537.0,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
197,DB00256,,
198,DB00257,2812.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
199,DB00258,517040.0,CC(=O)[O-].CC(=O)[O-].[Ca+2]
200,DB00259,129828936.0,C1=CC(=CC=C1N)S(=N)(=O)O
201,DB00260,51670069.0,C1C(C(=NO1)[O-])[NH3+]
202,DB00261,135409400.0,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3
203,DB00262,2578.0,C(CCl)NC(=O)N(CCCl)N=O
204,DB00263,5344.0,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N
205,DB00264,4171.0,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
206,DB00266,54676038.0,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O
207,DB00267,9570757.0,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O
208,DB00268,5095.0,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
209,DB00269,11289.0,COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC
210,DB00270,3784.0,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC
211,DB00271,2140.0,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
212,DB00273,5284627.0,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C
213,DB00274,42008.0,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)CSCC#N)OC)SC2)C(=O)O
214,DB00275,158781.0,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O
215,DB00276,2179.0,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
216,DB00277,2153.0,CN1C2=C(C(=O)N(C1=O)C)NC=N2
217,DB00278,92722.0,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
218,DB00279,5920.0,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O
219,DB00280,3114.0,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
220,DB00281,3676.0,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
221,DB00282,4674.0,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O
222,DB00283,26987.0,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C
223,DB00284,9811704.0,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO
224,DB00285,5656.0,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
225,DB00286,,
226,DB00287,5282226.0,CC(C)OC(=O)CCCC=CCC1C(CC(C1C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)O)O
227,DB00288,443958.0,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6
228,DB00289,54841.0,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2
229,DB00290,5360373.0,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O
230,DB00291,2708.0,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
231,DB00292,667484.0,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2
232,DB00293,135400182.0,CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)NC(CCC(=O)O)C(=O)O)C(=O)N1
233,DB00294,6917715.0,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
